City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Ancud,CL,-41.8697,-73.8203,46.22,73,57,12.12,light rain
216,Black River,JM,18.0264,-77.8487,80.74,70,66,12.3,broken clouds
217,Mount Gambier,AU,-37.8333,140.7667,60.33,74,59,5.75,broken clouds
218,Port Blair,IN,11.6667,92.75,80.87,80,49,9.89,scattered clouds
219,Saint-Francois,FR,46.4154,3.9054,33.24,86,100,9.22,overcast clouds
220,Seka,TH,17.9285,103.9552,59.99,67,89,4.16,overcast clouds
221,Mandera,KE,3.9366,41.867,83.34,59,75,17.72,broken clouds
222,Buenos Aires,AR,-34.6132,-58.3772,67.95,57,0,10.36,clear sky
223,Cururupu,BR,-1.8283,-44.8683,75.18,96,59,3.13,broken clouds
224,Yar-Sale,RU,66.8333,70.8333,-2.67,97,14,7.76,few clouds
225,Adrar,MR,20.5022,-10.0711,78.75,11,11,9.73,few clouds
226,Otradnoye,RU,59.7775,30.8181,28.04,95,6,2.91,clear sky
227,Chake Chake,TZ,-5.2459,39.7666,79.39,80,68,4.43,broken clouds
228,Najran,SA,17.4924,44.1277,64.54,18,0,2.62,clear sky
229,Darhan,MN,49.4867,105.9228,36.93,31,26,4.99,scattered clouds
230,Fortuna,US,40.5982,-124.1573,62.85,60,0,18.41,clear sky
231,Srirampur,IN,22.9489,88.0189,75.63,96,16,6.49,few clouds
232,Rio Gallegos,AR,-51.6226,-69.2181,44.65,70,20,13.8,few clouds
233,Anamur,TR,36.0751,32.8369,63.81,46,0,8.72,clear sky
234,Severo-Kurilsk,RU,50.6789,156.125,29.19,70,100,26.78,overcast clouds
235,Bereda,ES,43.2686,-7.5406,30.15,97,6,2.8,clear sky
236,Saskylakh,RU,71.9167,114.0833,0.19,97,98,9.1,overcast clouds
237,Provideniya,RU,64.3833,-173.3,17.8,51,0,12.06,clear sky
238,Mangulile,HN,15.0667,-86.8,84.69,32,7,2.98,clear sky
239,Aksarka,RU,66.5606,67.7975,2.08,94,17,8.21,few clouds
240,Homestead,US,25.4687,-80.4776,84.0,70,0,8.05,clear sky
241,Olafsvik,IS,64.8945,-23.7142,42.24,97,100,13.22,moderate rain
242,Georgetown,MY,5.4112,100.3354,76.95,88,20,1.14,few clouds
243,Tatarsk,RU,55.219,75.9828,33.91,100,100,9.84,snow
244,Ostrovnoy,RU,68.0531,39.5131,15.08,93,87,13.65,overcast clouds
245,Hirara,JP,24.8,125.2833,64.26,94,75,16.11,light intensity shower rain
246,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,29,0,13.8,clear sky
247,Morogoro,TZ,-6.8167,37.6667,68.85,96,13,1.72,few clouds
248,El Carmen,CO,8.5106,-73.4478,72.99,85,98,3.2,overcast clouds
249,Hithadhoo,MV,-0.6,73.0833,82.92,70,8,6.62,clear sky
250,Cayenne,GF,4.9333,-52.3333,80.1,1,75,6.91,broken clouds
251,Kishni,IN,27.0247,79.2634,77.13,9,0,5.35,clear sky
252,Carutapera,BR,-1.195,-46.02,76.93,91,80,6.17,broken clouds
253,Lukovetskiy,RU,64.2956,41.9211,6.17,99,46,3.49,scattered clouds
254,Butte,US,39.6499,-121.5677,79.38,19,0,10.36,clear sky
255,Dinghai,CN,26.2847,119.7936,54.73,71,100,19.44,overcast clouds
256,Kegums,LV,56.7451,24.7244,26.1,79,9,5.73,clear sky
257,Oranjemund,NA,-28.55,16.4333,57.07,94,5,1.01,clear sky
