City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,Sorong,ID,80.37,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
105,Atuona,PF,79.77,clear sky,-9.8,-139.0333,Villa Enata
109,Alofi,NU,80.33,moderate rain,-19.0595,-169.9187,Taloa Heights
113,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
116,Sola,VU,81.5,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
120,Vao,NC,79.14,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
122,San Fernando,PH,76.93,overcast clouds,15.0286,120.6898,Maharlika Hostel
126,Cabedelo,BR,80.06,broken clouds,-6.9811,-34.8339,Hotel Pigalle
130,Bambous Virieux,MU,75.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
132,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
137,Baiao,BR,75.58,broken clouds,-2.7906,-49.6717,Hotel Eurosono
142,Cabo San Lucas,MX,81.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
143,Mahebourg,MU,75.25,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
144,Fare,PF,81.97,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
145,Caravelas,BR,76.82,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
146,Fomboni,KM,82.0,scattered clouds,-12.28,43.7425,Auberge les abou
147,Monte Alegre,BR,76.3,broken clouds,-2.0078,-54.0692,Hotel Shekinah
148,Sehithwa,BW,76.89,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
155,Harper,LR,79.14,overcast clouds,4.375,-7.7169,Screensaver
163,Bria,CF,80.13,broken clouds,6.5423,21.9863,WFP Guesthouse
165,Kavieng,PG,79.14,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
167,Manaure,CO,84.61,broken clouds,11.7751,-72.4445,Hotel Palaaima
174,Tiarei,PF,87.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
175,Male,MV,82.35,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
183,Karratha,AU,80.38,clear sky,-20.7377,116.8463,ibis Styles Karratha
191,Hilo,US,77.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
192,Banda Aceh,ID,79.7,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
195,Waingapu,ID,77.56,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
199,Gaya,IN,78.3,clear sky,24.7833,85.0,Hotel Viraat Inn Gaya
202,Nueva Concepcion,GT,88.11,broken clouds,14.2,-91.3,Hotel Villa Las Flores
203,Bambanglipuro,ID,75.76,broken clouds,-7.95,110.2833,Puri Brata
209,Malakal,SS,89.62,broken clouds,9.5334,31.6605,Nile Palace Hotel
210,Healdsburg,US,82.31,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
211,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
216,Black River,JM,80.74,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
218,Port Blair,IN,80.87,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
221,Mandera,KE,83.34,broken clouds,3.9366,41.867,Hiren Hotel Mandera
223,Cururupu,BR,75.18,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
227,Chake Chake,TZ,79.39,broken clouds,-5.2459,39.7666,Hotel Archipelago
231,Srirampur,IN,75.63,few clouds,22.9489,88.0189,Ritesh Kumar
240,Homestead,US,84.0,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
242,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
249,Hithadhoo,MV,82.92,clear sky,-0.6,73.0833,Scoop Guest House
250,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
251,Kishni,IN,77.13,clear sky,27.0247,79.2634,श्री आंनद ग्रुप
252,Carutapera,BR,76.93,broken clouds,-1.195,-46.02,Lidera
254,Butte,US,79.38,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
258,Vanimo,PG,77.2,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
262,Iracoubo,GF,77.79,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
265,Randudongkal,ID,75.88,overcast clouds,-7.0981,109.3243,M N D P
267,Zaria,NG,80.87,broken clouds,11.1113,7.7227,A.B.U Hotels
272,Kieta,PG,82.96,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
274,Porto Novo,BJ,82.06,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
279,Port-Gentil,GA,78.46,overcast clouds,-0.7193,8.7815,Fengshui Residence
290,Sechura,PE,77.65,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
292,Narasannapeta,IN,78.73,scattered clouds,18.4167,84.05,AVK events and catering
299,Sinnamary,GF,77.77,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
303,Conceicao Do Araguaia,BR,75.27,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
310,Half Moon Bay,US,80.62,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
318,Morgan City,US,75.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
319,Labuan,MY,80.42,broken clouds,5.2767,115.2417,Tiara Labuan Hotel
322,Gujar Khan,PK,76.62,clear sky,33.2558,73.3026,Al Samad trader
325,Brenham,US,81.36,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
327,Kavaratti,IN,81.95,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
333,Noumea,NC,86.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
335,Arraial Do Cabo,BR,76.24,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
337,Labuhan,ID,78.1,overcast clouds,-6.8844,112.2051,DoubleFAG
344,Kokopo,PG,75.65,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
349,Junagarh,IN,79.16,clear sky,19.8667,82.9333,Hotel Swagat
357,Sampit,ID,75.04,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
359,Mareeba,AU,80.47,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
361,Turbat,PK,81.1,scattered clouds,26.0023,63.044,Mubashar Quarters
362,Manaus,BR,75.69,heavy intensity rain,-3.1019,-60.025,Manaus Hotéis Millennium
364,Ratnagiri,IN,75.97,broken clouds,16.9833,73.3,Hotel Landmark
367,Lakatoro,VU,81.05,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
374,Ormara,PK,76.62,few clouds,25.2088,64.6357,Kenara Colony house for Rent
376,San Buenaventura,MX,85.12,few clouds,27.0833,-101.5333,Hotel Gran Plaza
377,Pemangkat,ID,76.37,broken clouds,1.1667,108.9667,Ramah Kost KITA
379,Trairi,BR,76.28,overcast clouds,-3.2778,-39.2689,janelas do mar
385,Naliya,IN,76.24,clear sky,23.2667,68.8333,jadeja jayendrasinh
386,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
389,Charters Towers,AU,78.4,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
390,Yopal,CO,82.15,overcast clouds,5.3378,-72.3959,Hotel Camoruco
394,Dingle,PH,77.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
397,Chirongui,YT,80.53,few clouds,-12.9319,45.1483,La Villa Mahatsara
401,Morondava,MG,76.73,clear sky,-20.2833,44.2833,La Case Bambou
404,Isangel,VU,82.72,overcast clouds,-19.55,169.2667,Tanna Lodge
407,Maragogi,BR,78.4,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
415,Quepos,CR,81.27,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
419,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
421,Mana,GF,77.65,overcast clouds,5.6592,-53.7767,LE SAMANA
422,Voh,NC,85.05,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
428,Panubigan,PH,75.15,overcast clouds,7.4281,123.3466,Parish Beach
443,San Juan De Los Morros,VE,86.09,broken clouds,9.9115,-67.3538,Hotel La Montaña
447,Tomatlan,MX,84.22,clear sky,19.9333,-105.25,El Salvial
450,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
458,Namatanai,PG,79.25,light rain,-3.6667,152.4333,Seagulls Inn Namatani
461,Itarema,BR,76.44,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
463,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
464,Inhambane,MZ,76.59,few clouds,-23.865,35.3833,Oceano
467,Alugan,PH,79.56,scattered clouds,12.2188,125.4808,JM Lodge
471,Bandarbeyla,SO,77.27,scattered clouds,9.4942,50.8122,JABIR HOTEL
474,Jalu,LY,75.36,overcast clouds,29.0331,21.5482,صاحبة الفخامة
479,Poso,ID,78.8,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
480,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
481,Wamba,NG,81.81,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
485,Lethem,GY,86.63,broken clouds,3.3803,-59.7968,Savannah Inn
